time,no,review,score,read_volume,label
2022/6/30,2,"['601390', ':', '中国', '中铁', '关于', '控股', '股东', '增持', '公司', '股份', '进展', '情况', '的']",4.0,2728,1
2022/6/30,3,"['今晚', '密集', '出', '利好', '。', '明天', '套人', '了', '要']",1.0,546,1
2022/6/30,4,"['中铁', '2018', '年', '有', '过', '一次', '增持', '，', '当时', '是', '1', '千多', '万股', '，', '增持', '股价', '6']",4.0,691,1
2022/6/30,5,"['劳资', '抄', '了', '它', 'pp']",0.0,112,-1
2022/6/30,6,"['$', '中国', '中铁', '(', 'SH601390', ')', '$', '在手', '合同', '700', '亿都', '拉', '不', '上来', '，', '感觉']",0.0,144,1
2022/6/30,8,"['$', '中国', '中铁', '(', 'SH601390', ')', '$', '外资', '天天', '卖', '，', '没', '看到', '吗', '？', '一边', '发利']",0.0,345,1
2022/6/30,9,"['$', '中国', '中铁', '(', 'SH601390', ')', '$', '我', '的', '妈呀', '！', '今天', '含泪', '割肉', '，', '现在', '就']",-2.0,405,1
2022/6/30,10,"['中国', '中铁', '：', '控股', '股东', '已', '累计', '增持', '约', '7584.4', '万元']",1.0,1127,1
2022/6/30,11,"['601390', ':', '中国', '中铁', '关于', '收购', '云南省', '滇', '中', '引水', '工程', '有限公司']",0.0,5656,1
2022/6/30,12,"['大盘', '涨到', '10000', '点', '，', '不知', '这货到', '几块', '？', '真', '不知', '最高价', '23', '块']",-2.0,318,1
2022/6/30,13,"['基建', '天天', '有利', '好', '，', '天天', '跌', '！', '哎', '！']",-1.0,137,1
2022/6/30,14,"['$', '中国', '中铁', '(', 'SH601390', ')', '$', '我', '的', '妈呀', '！', '今天', '含泪', '割肉', '，', '现在', '就']",-2.0,158,1
2022/6/30,15,"['看', '公告', '后', '看', '位置', '在', '说话', ' ', '明天', '绝地', '反击', ' ', '拭目以待', ' ', '已经', '满']",-1.0,217,1
2022/6/30,16,"['$', '中国', '中铁', '(', 'SH601390', ')', '$', '关注', '了', '官方', '抖音', '！']",0.0,390,1
2022/6/30,17,"['$', '中国', '中铁', '(', 'SH601390', ')', '$', '怨气', '太重', '，', '先', '不', '考虑', '买入', '了', '[', '大笑', ']']",0.0,225,1
2022/6/30,18,"['$', '中国', '中铁', '(', 'SH601390', ')', '$', '中国', '中铁', '与', '国家', '电投', '签署', '战略', '合作']",1.0,168,1
2022/6/30,19,"['绩优股', '好股', '在', '泛滥', '。', '[', '捂脸', ']']",-4.0,131,-1
