id,time,review,read_volume
1,2022/6/30,性黄的不行！,246
2,2022/6/30,明天跌到11元多！,217
3,2022/6/30,高德红外：公司与片仔癀无业务往来,2514
4,2022/6/30,主力坏，给点小单让小散冲强压力区，希望小散别被骗，,326
5,2022/6/30,$高德红外(SZ002414)$明明记得三十一入手的，现在显示,648
6,2022/6/30,僵尸股一只,154
7,2022/6/30,$高德红外(SZ002414)$这股本次反弹涨幅较大，快40%了,569
8,2022/6/30,谁能告诉我今天是什么结局，只剩下半小时了，有点不忍,436
9,2022/6/30,$高德红外(SZ002414)$高德上半年以绿收官，下跌24%。,209
10,2022/6/30,此股看不懂，先撤了，祝留下的兄弟发财,416
11,2022/6/30,们，我又抄底了200万股了,327
12,2022/6/30,转股之后股价估计上不去了！,476
13,2022/6/30,$高德红外(SZ002414)$上半年跌了25个点，大盘快收复失,194
14,2022/6/30,死垃圾,154
15,2022/6/30,主力控盘不给力，居然不跟上次一样是纺织线。[旺柴],352
16,2022/6/30,上涨无力，下跌极速,175
17,2022/6/30,有雷吗？大盘都拉不动！,216
18,2022/6/30,请问你到底跟什么板块？,270
19,2022/6/30,股东太多，涨不了,303
20,2022/6/30,这股割肉的人很多的啊,263
21,2022/6/30,一个字跌,224
22,2022/6/30,$高德红外(SZ002414)$浪费行情,158
23,2022/6/30,瘪犊子,135
24,2022/6/30,我今早给了建议，今天大盘不涨1.5个点以上，高德肯定,281
25,2022/6/30,$高德红外(SZ002414)$大盘涨了50多点，这货不涨还降了,307
26,2022/6/30,$高德红外(SZ002414)$挨打从不缺席，肉没吃上一口,153
27,2022/6/30,$高德红外(SZ002414)$真不行,136
28,2022/6/30,会一路下跌吗？,130
29,2022/6/30,2.30分后大跌开始,144
30,2022/6/30,换股了，纹丝不动没玩的,141
31,2022/6/30,还好前段时间撤了大部分,143
32,2022/6/30,洗盘，继续,152
33,2022/6/30,完美错过这轮,142
34,2022/6/30,哎,117
35,2022/6/30,$高德红外(SZ002414)$怎么感觉老是有人打压此股？,140
36,2022/6/30,$高德红外(SZ002414)$了这股,135
37,2022/6/30,$高德红外(SZ002414)$高恶心。。。,132
38,2022/6/30,这种票明显机构逐步出货，大盘不强早已经10元以下了。,330
39,2022/6/30,大盘都跑不赢，不值得拥有,139
40,2022/6/30,大盘都跑不赢的股票真的不值得拥有,138
