time,no,review,score,read_volume
2022/6/30,1,"['东方', '盛虹', ':', '验资', '报告']",0,1164
2022/6/30,2,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '我里', '乖乖', '原油', '跌', '这么', '厉害', '利好', '盛虹']",5,398
2022/6/30,3,"['明天', '感觉', '要', '完', '了', '兄弟', '们', '我', '想', '问', '一下', '这个', '信息', '算不算', '坏消息']",-1,659
2022/6/30,4,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$']",0,205
2022/6/30,5,"['今天', '刚', '进来', '不', '知道', '接下来', '会', '怎么样', '？']",0,453
2022/6/30,6,"['一堆', '鸟', '公告', '出来', '，', '明天', '狂跌', '！']",-1,410
2022/6/30,7,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '一个月', '买', '2000', '多万', '，', '只有', '前', '10', '天上']",0,215
2022/6/30,8,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '这票', '的', '筹码', '密集区', '在', '什么', '价位', '？', '18']",0,204
2022/6/30,9,"['一堆', '公告', '，', '不痛不痒', '，', '专门', '套人']",-5,176
2022/6/30,10,"['一发', '公告', '必跌']",-1,223
2022/6/30,11,"['最近', '这么', '多', '在', '推群', '的', '牛鬼蛇神', '是', '什么鬼', '啊']",-21,196
2022/6/30,12,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '24', '的', '本', '，', '怎么办', '？']",0,428
2022/6/30,13,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '26', '块', '的', '本', '还', '能', '回来', '吗']",0,655
2022/6/30,14,"['董秘', '好', '请问', '贵', '公司', '有', '向', 'PVB', '材料', '切入', '计划', '吗']",0,857
2022/6/30,15,"['是不是', '要涨', '了']",1,299
2022/6/30,16,"['东方', '盛虹', ':', '东方', '证券', '承销', '保荐', '有限公司', '、', '中信证券', '股份', '有']",1,359
2022/6/30,17,"['东方', '盛虹', ':', '北京市', '金杜', '律师', '事务所', '关于', '公司', '发行', '股份', '及支']",0,297
2022/6/30,18,"['今天', '好', '厉害', '，', '居然', '没绿', '，', '蛋']",-1,181
2022/6/30,19,"['刚才', '那帖', '我', '说错', '了', '，', '收回', '东方', '盛虹', '六月份', '跑输', '深指', '接近', '四']",-1,339
2022/6/30,20,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '下午', '看戏', '，', '没', '仓位', '卖', '了', '[', '捂脸', ']']",0,637
2022/6/30,21,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '昨天', '跌停', '进', '的', '，', '今天', '做个', 't', '，', '还行']",-1,191
2022/6/30,22,"['东方', '盛虹', '六月份', '仅仅', '比', '大盘', '好', '一点点', '，', '就是', '这个', '新能源', '个']",0,447
2022/6/30,23,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '垃圾', '垃圾', '，', '天天', '想割', '我', '的', '韭菜']",-2,345
2022/6/30,24,"['东方', '盛红', '的', '整个', '利益', '链', '可以', '细品']",0,227
2022/6/30,25,"['放弃', '了', '，', '跑', '了']",0,149
2022/6/30,26,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '你', '看看', '你', '的', '爱旭爹']",0,331
2022/6/30,27,"['反弹', '到', '17.5', '做', '止损']",1,165
2022/6/30,28,"['东方', '盛虹', '：', '旗下', '公司', '拟', '39.39', '亿元', '投建', '240', '万吨', '/', '年', '精对', '苯']",0,1345
