time,no,review,score,read_volume,label
2022/6/30,1,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '重庆', '啤酒', '的', '老', '股东', '们', '，', '帮忙', '分析', '下']",3.0,565,1
2022/6/30,2,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '明天', '包', '韭菜', '馅', '的', '饺子']",0.0,385,1
2022/6/30,4,['转发'],0.0,147,-1
2022/6/30,7,"['明天', '要', '上', '155', '.', '出去', '又', '后悔']",0.0,317,1
2022/6/30,9,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '中免', '和', '重庆', '啤酒', '，', '选', '了', '你', '。', '我', '真是']",0.0,405,1
2022/6/30,10,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '有没有', '追高', '的']",0.0,354,1
2022/6/30,11,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '跑', '啊', '！']",0.0,175,1
2022/6/30,12,"['主力', '在', '出逃', '，', '抓紧', '卖', '吧']",4.0,344,1
2022/6/30,15,"['上周三', '连阳', '我', '还', '想着', '酒', 'ET512690F', '前面', '买少', '了', '，', '看着', '补涨']",1.5,191,-1
2022/6/30,17,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '收盘', '150', '吧', '哥']",0.0,170,1
2022/6/30,18,"['开始', '提前', '砸盘', '了', '吗']",-1.0,161,-1
2022/6/30,19,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '今天', '追高', '的', '都', '是', '勇士']",3.0,335,1
2022/6/30,20,"['中午', '大', '乌苏', '干', '了', '二瓶', '，', '冰', '的', '，', '好爽', '[', '大笑', ']', '[', '大笑', ']']",1.0,200,1
2022/6/30,21,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '错过', '一波', '行情']",-1.0,168,1
2022/6/30,22,"['看', '业绩', '说话', '，', '底部', '震荡', '了', '那么', '长时间', '，', '也', '该', '蓄势待发', '了', '，']",0.0,173,1
2022/6/30,23,"['103', '卖', '的', '，', '买', '了', '海南', '椰岛', '，', '真苦', '啊', '[', '大哭', ']']",0.0,337,-1
2022/6/30,24,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '要求', '不高', '，', '站稳', '150', '就行']",-1.0,170,1
2022/6/30,25,"['抓紧', '跑', '吧', '，', '不', '跑', '马上', '就', '被', '埋']",0.0,325,-1
2022/6/30,26,"['九姐', '请', '分析', '哈', '趋势']",0.0,305,-1
2022/6/30,27,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '原来', '125', '的', '本钱', '，', '不要', '，', '非得', '追涨']",4.0,180,1
2022/6/30,28,"['感谢', '抬轿', '的', '各位', '富豪']",3.0,171,-1
2022/6/30,29,"['145', '点要', '回', '了', '歇歇']",0.0,354,-1
2022/6/30,30,"['我', '134', '卖', '了', '你', '，', '我', '的', '错']",0.0,349,-1
2022/6/30,31,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '卖飞', '了', '！', '[', '哭', ']', '[', '哭', ']', '[', '哭', ']']",0.0,312,1
2022/6/30,34,"['后悔', '出来', '一半', '[', '哭', ']']",0.0,176,-1
2022/6/30,35,"['很多', '人', '看不懂', '白酒', '，', '只能', '说', '白酒', '市场', '是', '需要', '国民经济', '来保']",0.0,184,1
